1672377170-16,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Biotechnology,https://universityofadelaide.box.com/v/be-chem-bbio-S1-2023
1672377170-17,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors,https://universityofadelaide.box.com/v/be-chem-allmajors-S2-2023
1672377170-18,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors with B. Mathematical & Computer Sciences (Comp Sci major),https://universityofadelaide.box.com/v/be-chem-bmcs-cs-S2-2023
1672377170-19,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors with B. Mathematical & Computer Sciences (Maths major),https://universityofadelaide.box.com/v/be-chem-bmcs-m-S2-2023
1672377170-20,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Finance & Banking,https://universityofadelaide.box.com/v/be-chem-bfinbank-S2-2023
1672377170-21,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Science,https://universityofadelaide.box.com/v/be-chem-bsci-S2-2023
1672377170-22,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Biotechnology,https://universityofadelaide.box.com/v/be-chem-bbio-S2-2023
1672377170-23,https://set.adelaide.edu.au/student-support/study-plans,Associate Degree in Construction Management,https://universityofadelaide.box.com/v/ad-constr-mngment-S1-2023
1672377170-24,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Construction Management,https://universityofadelaide.box.com/v/b-constr-mngment-S1-2023
1672377170-25,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Construction Management (Honours),https://universityofadelaide.box.com/v/b-constr-mngment-hons-S1-2023
1672377170-26,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) (Architectural and Structural),https://universityofadelaide.box.com/v/be-arch-struct-S1-2023
1672377170-27,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors (single degree),https://universityofadelaide.box.com/v/be-civil-allmajors-S1-2023
1672377170-28,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors with B. Mathematical & Computer Sciences (Comp Sci major),https://universityofadelaide.box.com/v/be-civil-bmcs-cs-S1-2023
1672377170-29,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors with B. Mathematical & Computer Sciences (Maths major),https://universityofadelaide.box.com/v/be-civil-bmcs-m-S1-2023
1672377170-30,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors with B. Finance & Banking,https://universityofadelaide.box.com/v/be-civil-bfinbank-S1-2023
1672377170-31,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors with B. Science,https://universityofadelaide.box.com/v/be-civil-bsci-S1-2023
1672377170-32,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) (Architectural and Structural),https://universityofadelaide.box.com/v/be-arch-struct-S2-2023
1672377170-33,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors (single degree),https://universityofadelaide.box.com/v/be-civil-allmajors-S2-2023
1672377170-34,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Civil - All majors with B. Mathematical & Computer Sciences (Comp Sci major),https://universityofadelaide.box.com/v/be-civil-bmcs-cs-S2-2023
